#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%,Win Shares
37,Jrue Holiday,661,33.1,15.6,6.2,13.6,45.2,1.2,3.5,35.4,2,2.6,78.4,0.8,3,3.9,6.4,1.5,0.5,2.7,49.7,52.8,39.3
38,Tobias Harris,557,30.5,15.5,5.9,12.4,47,1.3,3.5,36,2.5,3.1,82.1,1,5,6,1.9,0.7,0.5,1.4,52.1,56.1,40.3
39,Gordon Hayward,597,30.6,15.2,5.2,11.5,44.8,1.3,3.6,36.5,3.5,4.3,82.2,0.7,3.5,4.2,3.4,1,0.4,2,50.4,56.5,49
40,Mike Conley,799,32.6,14.9,5.3,12,44,1.4,3.7,37.5,2.9,3.5,81.8,0.4,2.5,2.9,5.7,1.5,0.2,2,49.7,54.7,71.7
41,Marc Gasol,806,33.3,14.9,5.5,11.5,48.2,0.4,1.2,35.2,3.4,4.4,77.8,1.7,6,7.7,3.4,0.9,1.4,2.1,50,55.6,79.8
42,Kyle Lowry,864,31.3,14.5,4.7,11,42.4,1.8,4.9,36.8,3.4,4.2,80.6,0.8,3.5,4.3,6.1,1.3,0.3,2.3,50.6,56.5,87.9
43,Brandon Knight,424,30,14.4,5.2,12.6,41.3,1.6,4.5,35.4,2.5,3,81.1,0.5,2.6,3.2,4,0.9,0.2,2.5,47.6,51.8,11.6
44,Lou Williams,948,24.7,14.3,4.6,10.9,42.1,1.3,3.8,34.9,3.8,4.5,83.9,0.4,1.8,2.2,3.3,0.9,0.2,1.7,48.1,55.4,60.5
45,Andre Drummond,554,30.9,14.3,6,11.1,54.3,0,0.1,13.2,2.2,4.8,45.4,4.8,9,13.8,1.2,1.3,1.6,1.8,54.4,53.9,57.7
46,Eric Bledsoe,581,27.9,14.2,5,11,45.6,1.1,3.2,33.4,3,3.8,79.4,0.8,3.1,3.9,4.8,1.5,0.5,2.6,50.4,55.7,38.3
47,Al Horford,796,32.8,14.1,6,11.4,52.4,0.5,1.3,36.6,1.7,2.3,75.2,2.2,6.2,8.4,3.2,0.8,1.2,1.6,54.5,57.1,86.7
48,Paul Millsap,956,29.3,14.1,5.3,10.8,49,0.5,1.4,33.8,3.1,4.2,73.5,2.3,5.1,7.4,2.3,1.3,1,1.8,51.2,55.9,89.4
49,Goran Dragic,769,28,13.8,5.1,10.9,46.6,1.2,3.2,36.4,2.5,3.2,76.2,0.7,2.3,3.1,4.8,1,0.2,2.3,51.9,55.9,52.1
50,Harrison Barnes,550,30.8,13.6,5.1,11.3,44.7,1.2,3.3,37.4,2.3,2.8,79.4,1,3.9,4.9,1.5,0.7,0.2,1.2,50.1,54.1,30.6
51,Wesley Matthews,735,32.4,13.6,4.6,10.9,42.5,2.1,5.6,38.1,2.2,2.6,82.5,0.5,2.6,3.1,2.2,1.1,0.2,1.3,52.3,56.2,48.3
52,Evan Fournier,468,28,13.5,4.9,11,44.6,1.7,4.5,37.1,2.1,2.6,80.6,0.4,2.3,2.8,2.5,0.8,0.1,1.6,52.2,55.9,20.4
53,Bojan Bogdanovic,409,27.9,13.4,4.8,10.3,46.3,1.7,4.5,39,2.1,2.5,84.8,0.5,2.9,3.4,1.4,0.6,0.1,1.4,54.7,58.8,19.3
54,Dennis Schroder,442,24.8,13.4,5.1,11.8,43,1,3.2,32.4,2.2,2.7,82.4,0.4,2.3,2.8,4.6,0.8,0.1,2.4,47.3,51.5,13.3
55,Thaddeus Young,913,30.6,13.3,5.7,11.5,50,0.5,1.4,32.9,1.4,2.1,67.1,2,3.9,6,1.7,1.5,0.4,1.4,52.1,53.8,60
56,Dion Waiters,409,28.4,13.2,5,12.3,41.2,1.4,3.9,34.7,1.7,2.5,69.2,0.4,2.2,2.7,2.8,0.9,0.3,1.8,46.8,49.4,8.7
57,Jeff Green,871,29.9,13.1,4.8,10.8,44,1,3,33.4,2.6,3.2,80.5,0.9,3.5,4.5,1.6,0.7,0.5,1.5,48.8,53.6,40.3
58,Tim Hardaway Jr.,414,26,13,4.6,11,41.7,1.8,5.4,34.2,2,2.5,81.4,0.3,2.2,2.6,1.8,0.6,0.2,1.1,50.1,53.9,15.4
