Rk,Player,From,To,Lg,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
103,Detlef Schrempf,1986,2001,NBA,1136,29.6,13.9,6.2,3.4,0.8,0.3,0.491,0.384,0.803,109.5,0.156
104,Terry Porter,1986,2002,NBA,1274,27.8,12.2,3,5.6,1.2,0.1,0.463,0.386,0.836,110.4,0.15
105,Charles Oakley,1986,2004,NBA,1282,31.4,9.7,9.5,2.5,1.1,0.3,0.471,0.253,0.761,89.7,0.107
106,A.C. Green,1986,2001,NBA,1278,28.6,9.6,7.4,1.1,0.8,0.4,0.494,0.254,0.734,99.5,0.131
107,Tyrone Corbin,1986,2001,NBA,1065,26,9.2,4.7,1.8,1.2,0.3,0.456,0.299,0.791,56.5,0.098
108,Hot Rod Williams,1987,1999,NBA,887,29.7,11,6.8,1.8,0.8,1.6,0.48,0.105,0.726,70.5,0.129
109,Mark Price,1987,1998,NBA,722,29.9,15.2,2.6,6.7,1.2,0.1,0.472,0.402,0.904,71.1,0.158
110,Johnny Newman,1987,2002,NBA,1159,24.5,11,2.2,1.5,0.9,0.2,0.461,0.336,0.81,50.3,0.085
111,Nate McMillan,1987,1998,NBA,796,25.7,5.9,4,6.1,1.9,0.4,0.443,0.343,0.65,50.2,0.118
112,Jeff Hornacek,1987,2000,NBA,1077,31.5,14.5,3.4,4.9,1.4,0.2,0.496,0.403,0.877,108.9,0.154
113,Ron Harper,1987,2001,NBA,1009,30.9,13.8,4.3,3.9,1.7,0.7,0.446,0.289,0.72,65.8,0.101
114,Brad Daugherty,1987,1994,NBA,548,36.5,19,9.5,3.7,0.8,0.7,0.532,0.143,0.747,65.2,0.156
115,Derrick McKey,1988,2002,NBA,937,29.1,11,4.7,2.4,1.1,0.7,0.486,0.316,0.779,61.8,0.109
116,Kevin Johnson,1988,2000,NBA,735,34.1,17.9,3.3,9.1,1.5,0.2,0.493,0.305,0.841,92.8,0.178
117,Mark Jackson,1988,2004,NBA,1296,30.2,9.6,3.8,8,1.2,0.1,0.447,0.332,0.77,91.8,0.113
118,Horace Grant,1988,2004,NBA,1165,33.2,11.2,8.1,2.2,1,1,0.509,0.063,0.692,118.2,0.147
119,Armen Gilliam,1988,2000,NBA,929,28.4,13.7,6.9,1.2,0.7,0.7,0.489,0,0.776,58.1,0.106
120,Muggsy Bogues,1988,2001,NBA,889,28.6,7.7,2.6,7.6,1.5,0,0.458,0.278,0.827,54,0.102
121,Rod Strickland,1989,2005,NBA,1094,30.7,13.2,3.7,7.3,1.5,0.2,0.454,0.282,0.721,85.8,0.122
122,Rik Smits,1989,2000,NBA,867,26.6,14.8,6.1,1.4,0.4,1.3,0.507,0.115,0.773,56.6,0.118
123,Danny Manning,1989,2003,NBA,883,27.4,14,5.2,2.3,1.1,0.9,0.511,0.206,0.729,55.1,0.109
124,Dan Majerle,1989,2002,NBA,955,31.6,11.4,4.5,2.9,1.3,0.4,0.431,0.358,0.741,78.5,0.125
125,Grant Long,1989,2003,NBA,1003,28.4,9.5,6.1,1.7,1.2,0.4,0.467,0.283,0.761,60.1,0.101
126,Avery Johnson,1989,2004,NBA,1054,25.3,8.4,1.7,5.5,1,0.1,0.479,0.145,0.706,56.5,0.102
127,Hersey Hawkins,1989,2001,NBA,983,32.6,14.7,3.6,2.9,1.7,0.3,0.461,0.394,0.87,90.6,0.136
128,Clifford Robinson,1990,2007,NBA,1380,30.8,14.2,4.6,2.2,1,1,0.438,0.356,0.689,89.7,0.101
129,Glen Rice,1990,2004,NBA,1000,35,18.3,4.4,2.1,1,0.3,0.456,0.4,0.846,88.7,0.122
130,Anthony Mason,1990,2003,NBA,882,34.7,10.9,8.3,3.4,0.7,0.3,0.509,0.167,0.709,88.3,0.138
131,Shawn Kemp,1990,2003,NBA,1051,27.9,14.6,8.4,1.6,1.1,1.2,0.488,0.277,0.741,89.5,0.147
132,Tim Hardaway,1990,2003,NBA,867,35.3,17.7,3.3,8.2,1.6,0.1,0.431,0.355,0.782,85,0.133
133,Sean Elliott,1990,2001,NBA,742,33,14.2,4.3,2.6,0.8,0.4,0.465,0.375,0.799,55.7,0.109
134,Mookie Blaylock,1990,2002,NBA,889,34.9,13.5,4.1,6.7,2.3,0.3,0.409,0.336,0.736,71.8,0.111
135,Nick Anderson,1990,2002,NBA,800,31.2,14.4,5.1,2.6,1.4,0.5,0.446,0.356,0.667,55.3,0.106
136,Tyrone Hill,1991,2004,NBA,801,28,9.4,8.6,0.8,0.8,0.5,0.502,0,0.643,56.2,0.12
137,Derrick Coleman,1991,2005,NBA,781,33.2,16.5,9.3,2.5,0.8,1.3,0.447,0.295,0.769,64.3,0.119
138,Elden Campbell,1991,2005,NBA,1044,24.7,10.3,5.9,1.1,0.7,1.5,0.46,0.054,0.699,62.8,0.117
139,Steve Smith,1992,2005,NBA,942,30.6,14.3,3.2,3.1,0.8,0.3,0.44,0.358,0.845,83.7,0.139
140,Larry Johnson,1992,2001,NBA,707,36.3,16.2,7.5,3.3,0.7,0.4,0.484,0.332,0.766,69.7,0.13
141,Dale Davis,1992,2007,NBA,1094,27.1,8,7.9,0.9,0.6,1.2,0.53,0,0.562,86.9,0.141
142,Terrell Brandon,1992,2002,NBA,724,29.8,13.8,3,6.1,1.6,0.3,0.448,0.355,0.873,65.9,0.147
143,Kenny Anderson,1992,2005,NBA,858,30.1,12.6,3.1,6.1,1.5,0.1,0.421,0.346,0.79,62.5,0.116
144,Clarence Weatherspoon,1993,2005,NBA,915,30.3,11.5,7.5,1.5,1,0.9,0.471,0.196,0.743,58.4,0.101
145,Latrell Sprewell,1993,2005,NBA,913,38.6,18.3,4.1,4,1.4,0.4,0.425,0.337,0.804,56.3,0.077
146,Christian Laettner,1993,2005,NBA,868,29.7,12.8,6.7,2.6,1.1,0.8,0.48,0.261,0.82,64.9,0.121
147,Robert Horry,1993,2008,NBA,1107,24.5,7,4.8,2.1,1,0.9,0.425,0.341,0.726,66.3,0.118
148,Doug Christie,1993,2007,NBA,827,31.5,11.2,4.1,3.6,1.9,0.5,0.426,0.354,0.821,55.7,0.102
149,David Wesley,1994,2007,NBA,949,31.9,12.5,2.5,4.4,1.3,0.2,0.424,0.368,0.786,61.3,0.097
150,Chris Webber,1994,2008,NBA,831,37.1,20.7,9.8,4.2,1.4,1.4,0.479,0.299,0.649,84.7,0.132
151,Nick Van Exel,1994,2006,NBA,880,32.9,14.4,2.9,6.6,0.8,0.1,0.405,0.357,0.794,55.9,0.093
152,Bo Outlaw,1994,2008,NBA,914,22.7,5.4,4.9,1.6,0.9,1.3,0.567,0.079,0.521,50.8,0.118
153,Toni Kuko?,1994,2006,NBA,846,26.3,11.6,4.2,3.7,1,0.3,0.447,0.335,0.729,59.6,0.129
154,Allan Houston,1994,2005,NBA,839,33.7,17.3,2.9,2.4,0.7,0.2,0.444,0.402,0.863,55.3,0.094
155,Anfernee Hardaway,1994,2008,NBA,704,33.7,15.2,4.5,5,1.6,0.4,0.458,0.316,0.774,61.9,0.125
156,Antonio Davis,1994,2006,NBA,903,28.9,10,7.5,1.1,0.5,1,0.448,0.087,0.727,59.6,0.11
157,Sam Cassell,1994,2008,NBA,993,30,15.7,3.2,6,1.1,0.2,0.454,0.331,0.861,87.5,0.141
158,P.J. Brown,1994,2008,NBA,1089,31.1,9.1,7.7,1.5,0.8,1,0.46,0.136,0.794,89.8,0.128
